iter	Passed	Remaining
393	12661	308704
394	12683	308429
395	12706	308172
396	12729	307906
397	12751	307640
398	12774	307396
399	12796	307120
400	12820	306882
401	12842	306628
402	12865	306369
403	12886	306095
404	12908	305830
405	12931	305578
406	12954	305332
407	12977	305086
408	13000	304857
409	13022	304605
410	13046	304381
411	13068	304123
412	13095	303981
413	13116	303718
414	13139	303475
415	13161	303211
416	13182	302955
417	13205	302715
418	13227	302467
419	13249	302222
420	13272	301990
421	13295	301753
422	13316	301497
423	13339	301278
424	13362	301053
425	13385	300832
426	13408	300602
427	13430	300356
428	13452	300118
429	13481	300032
430	13504	299814
431	13526	299585
432	13549	299363
433	13571	299133
434	13593	298895
435	13617	298718
436	13639	298482
437	13661	298238
438	13682	298000
439	13704	297761
440	13726	297540
441	13748	297307
442	13769	297053
443	13792	296846
444	13814	296619
445	13836	296388
446	13858	296176
447	13880	295946
448	13902	295721
449	13923	295490
450	13945	295272
451	13967	295050
452	13999	295045
453	14023	294864
454	14044	294632
455	14068	294448
456	14090	294233
457	14113	294047
458	14136	293847
459	14158	293636
460	14180	293428
461	14202	293204
462	14223	292986
463	14245	292777
464	14267	292552
465	14290	292368
466	14312	292158
467	14334	291957
468	14355	291741
469	14377	291529
470	14399	291328
471	14421	291123
472	14444	290927
473	14465	290719
474	14494	290660
475	14516	290449
476	14538	290244
477	14560	290059
478	14583	289869
479	14605	289667
480	14626	289460
481	14647	289242
482	14671	289081
483	14693	288889
484	14715	288690
485	14738	288517
486	14759	288314
487	14781	288117
488	14803	287921
489	14824	287719
490	14847	287545
491	14875	287474
492	14898	287298
493	14920	287117
494	14943	286937
495	14965	286755
496	14986	286560
497	15008	286370
498	15030	286189
499	15058	286112
500	15079	285912
501	15101	285729
502	15123	285537
503	15144	285333
504	15165	285132
505	15187	284956
506	15210	284800
507	15232	284623
508	15255	284450
509	15277	284273
510	15299	284105
511	15322	283942
512	15344	283772
513	15366	283588
514	15388	283412
515	15409	283230
516	15431	283055
517	15453	282884
518	15475	282708
519	15498	282544
520	15519	282367
521	15542	282201
522	15563	282026
523	15585	281851
524	15607	281686
525	15636	281643
526	15665	281595
527	15688	281439
528	15709	281254
529	15730	281065
530	15755	280961
531	15780	280845
532	15802	280676
533	15823	280497
534	15846	280344
535	15867	280175
536	15890	280016
537	15911	279846
538	15933	279685
539	15955	279521
540	15977	279363
541	16000	279209
542	16022	279048
543	16044	278893
544	16073	278844
545	16096	278718
546	16118	278554
547	16141	278404
548	16174	278447
549	16201	278363
550	16222	278193
551	16250	278138
552	16272	277978
553	16293	277817
554	16320	277739
555	16344	277625
556	16367	277482
557	16389	277322
558	16411	277168
559	16433	277017
560	16455	276865
561	16477	276712
562	16504	276640
563	16525	276482
564	16548	276339
565	16570	276194
566	16593	276056
567	16614	275902
568	16636	275738
569	16657	275586
570	16678	275412
571	16701	275276
572	16723	275132
573	16745	274981
574	16767	274836
575	16789	274690
576	16811	274552
577	16834	274413
578	16856	274279
579	16879	274139
580	16900	273992
581	16922	273849
582	16945	273714
583	16967	273567
584	16989	273423
585	17010	273276
586	17032	273133
587	17054	272983
588	17076	272842
589	17097	272695
590	17120	272562
591	17141	272412
592	17162	272260
593	17183	272106
594	17206	271983
595	17230	271866
596	17251	271725
597	17274	271598
598	17295	271446
599	17316	271291
600	17339	271179
601	17361	271031
602	17383	270901
603	17411	270852
604	17433	270716
605	17455	270582
606	17476	270436
607	17498	270300
608	17520	270166
609	17552	270194
610	17577	270100
611	17598	269960
612	17623	269876
613	17645	269741
614	17677	269767
615	17707	269754
616	17729	269617
617	17751	269489
618	17773	269357
619	17794	269213
620	17816	269083
621	17838	268953
622	17861	268835
623	17883	268709
624	17905	268581
625	17927	268455
626	17948	268314
627	17970	268180
628	17991	268042
629	18013	267916
630	18036	267800
631	18058	267684
632	18081	267560
633	18102	267429
634	18124	267303
635	18147	267190
636	18173	267126
637	18198	267037
638	18218	266895
639	18240	266772
640	18269	266740
641	18291	266619
642	18312	266484
643	18334	266357
644	18355	266230
645	18377	266101
646	18399	265978
647	18421	265855
648	18443	265743
649	18474	265742
650	18496	265628
651	18518	265503
652	18539	265372
653	18561	265251
654	18583	265134
655	18605	265017
656	18627	264890
657	18648	264763
658	18670	264642
659	18692	264523
660	18722	264522
661	18745	264421
662	18767	264295
663	18789	264182
664	18812	264079
665	18835	263977
666	18864	263954
667	18886	263847
668	18907	263720
669	18929	263594
670	18950	263476
671	18972	263361
672	18994	263242
673	19016	263130
674	19039	263030
675	19061	262909
676	19083	262801
677	19104	262679
678	19125	262550
679	19147	262434
680	19176	262417
681	19206	262412
682	19233	262362
683	19254	262239
684	19276	262125
685	19297	262001
686	19320	261902
687	19342	261798
688	19363	261677
689	19387	261590
690	19409	261476
691	19432	261378
692	19453	261259
693	19475	261144
694	19496	261024
695	19518	260916
696	19540	260809
697	19561	260695
698	19584	260588
699	19605	260471
700	19629	260395
701	19651	260287
702	19674	260187
703	19696	260077
704	19719	259987
705	19742	259892
706	19764	259796
707	19787	259695
708	19809	259589
709	19831	259480
710	19854	259399
711	19878	259314
712	19901	259218
713	19923	259113
714	19945	259013
715	19968	258924
716	19990	258822
717	20013	258723
718	20035	258617
719	20057	258512
720	20079	258419
721	20101	258312
722	20123	258206
723	20145	258104
724	20166	257997
725	20188	257885
726	20210	257782
727	20232	257685
728	20254	257584
729	20276	257483
730	20298	257388
731	20321	257292
732	20343	257187
733	20365	257095
734	20388	257004
735	20410	256907
736	20432	256802
737	20453	256699
738	20476	256604
739	20498	256503
740	20520	256404
741	20541	256303
742	20564	256206
743	20586	256115
744	20607	256006
745	20630	255923
746	20652	255817
747	20674	255723
748	20696	255624
749	20718	255522
750	20738	255408
751	20759	255291
752	20782	255208
753	20804	255116
754	20827	255030
755	20849	254934
756	20871	254844
757	20894	254752
758	20915	254650
759	20938	254562
760	20960	254477
761	20982	254378
762	21005	254292
